"filename", "language", "Vue", "JSON with Comments", "CSS", "JavaScript", "SCSS", "Less", "Markdown", "HTML", "JSON", "XML", "comment", "blank", "total"
"d:\vueDemo\vue-cyanmusic\src\request\index.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 12, 4, 26
"d:\vueDemo\vue-cyanmusic\src\router\index.js", "JavaScript", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 3, 12, 100
"d:\vueDemo\vue-cyanmusic\src\store\index.js", "JavaScript", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 28, 3, 112
"d:\vueDemo\vue-cyanmusic\src\views\dailyRmd\dailyRmd.vue", "Vue", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"d:\vueDemo\vue-cyanmusic\src\views\dailyRmd\dailyRmdCard.vue", "Vue", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 11
"d:\vueDemo\vue-cyanmusic\src\views\headerBar\headerBar.vue", "Vue", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 3, 104
"d:\vueDemo\vue-cyanmusic\src\views\home\homePage.vue", "Vue", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"d:\vueDemo\vue-cyanmusic\src\views\home\homePage\homeRmd.vue", "Vue", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 75
"d:\vueDemo\vue-cyanmusic\src\views\home\homePage\newSongRmd.vue", "Vue", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\vueDemo\vue-cyanmusic\src\views\home\homePage\playList.vue", "Vue", 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 265
"d:\vueDemo\vue-cyanmusic\src\views\home\homePage\singers.vue", "Vue", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\vueDemo\vue-cyanmusic\src\views\home\homePage\songRank.vue", "Vue", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\vueDemo\vue-cyanmusic\src\views\home\playlistcardDetail.vue", "Vue", 396, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32, 434
"d:\vueDemo\vue-cyanmusic\src\views\layout.vue", "Vue", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 105
"d:\vueDemo\vue-cyanmusic\src\views\leftBar\musicMenus.vue", "Vue", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 63
"d:\vueDemo\vue-cyanmusic\src\views\login\loginPhone.vue", "Vue", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 111
"d:\vueDemo\vue-cyanmusic\src\views\login\loginQr.vue", "Vue", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 89
"d:\vueDemo\vue-cyanmusic\src\views\recentPlay\recentPlay.vue", "Vue", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 140
"d:\vueDemo\vue-cyanmusic\src\views\songList\songList.vue", "Vue", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\vueDemo\vue-cyanmusic\vue.config.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 16, 2, 38
"Total", "-", 2800, 8, 2434, 304, 1758, 1758, 19, 16, 20395, 2671, 275, 416, 32854
